fra;jour;n_dose1;n_cum_dose1
FR;2020-12-27;13;13
FR;2020-12-28;38;51
FR;2020-12-29;64;115
FR;2020-12-30;88;203
FR;2020-12-31;78;281
FR;2021-01-01;9;290
FR;2021-01-02;42;332
FR;2021-01-03;74;406
FR;2021-01-04;1344;1750
FR;2021-01-05;4834;6584
FR;2021-01-06;10115;16699
FR;2021-01-07;25484;42183
FR;2021-01-08;31486;73669
FR;2021-01-09;10125;83794
FR;2021-01-10;5233;89027
FR;2021-01-11;32856;121883
FR;2021-01-12;52304;174187
FR;2021-01-13;55472;229659
FR;2021-01-14;68816;298475
FR;2021-01-15;57287;355762
FR;2021-01-16;17204;372966
FR;2021-01-17;9378;382344
FR;2021-01-18;75095;457439
FR;2021-01-19;115731;573170
FR;2021-01-20;121324;694494
FR;2021-01-21;138955;833449
FR;2021-01-22;107637;941086
FR;2021-01-23;35149;976235
FR;2021-01-24;8689;984924
FR;2021-01-25;69915;1054839
FR;2021-01-26;88125;1142964
FR;2021-01-27;91767;1234731
