fra;sexe;jour;n_dose1;n_cum_dose1
FR;1;2020-12-27;7;7
FR;1;2020-12-28;9;16
FR;1;2020-12-29;21;37
FR;1;2020-12-30;34;71
FR;1;2020-12-31;17;88
FR;1;2021-01-01;6;94
FR;1;2021-01-02;24;118
FR;1;2021-01-03;42;160
FR;1;2021-01-04;584;744
FR;1;2021-01-05;2052;2796
FR;1;2021-01-06;4275;7071
FR;1;2021-01-07;9973;17044
FR;1;2021-01-08;12235;29279
FR;1;2021-01-09;4707;33986
FR;1;2021-01-10;2423;36409
FR;1;2021-01-11;12247;48656
FR;1;2021-01-12;18466;67122
FR;1;2021-01-13;19639;86761
FR;1;2021-01-14;23842;110603
FR;1;2021-01-15;20193;130796
FR;1;2021-01-16;7348;138144
FR;1;2021-01-17;3315;141459
FR;1;2021-01-18;30564;172023
FR;1;2021-01-19;44412;216435
FR;1;2021-01-20;47001;263436
FR;1;2021-01-21;52172;315608
FR;1;2021-01-22;43939;359547
FR;1;2021-01-23;15576;375123
FR;1;2021-01-24;3469;378592
FR;1;2021-01-25;30441;409033
FR;1;2021-01-26;36633;445666
FR;1;2021-01-27;36990;482656
FR;2;2020-12-27;6;6
FR;2;2020-12-28;29;35
FR;2;2020-12-29;43;78
FR;2;2020-12-30;54;132
FR;2;2020-12-31;61;193
FR;2;2021-01-01;3;196
FR;2;2021-01-02;18;214
FR;2;2021-01-03;32;246
FR;2;2021-01-04;759;1005
FR;2;2021-01-05;2781;3786
FR;2;2021-01-06;5835;9621
FR;2;2021-01-07;15508;25129
FR;2;2021-01-08;19243;44372
FR;2;2021-01-09;5416;49788
FR;2;2021-01-10;2807;52595
FR;2;2021-01-11;20601;73196
FR;2;2021-01-12;33821;107017
FR;2;2021-01-13;35812;142829
FR;2;2021-01-14;44949;187778
FR;2;2021-01-15;37072;224850
FR;2;2021-01-16;9850;234700
FR;2;2021-01-17;6060;240760
FR;2;2021-01-18;44510;285270
FR;2;2021-01-19;71276;356546
FR;2;2021-01-20;74285;430831
FR;2;2021-01-21;86728;517559
FR;2;2021-01-22;63666;581225
FR;2;2021-01-23;19563;600788
FR;2;2021-01-24;5219;606007
FR;2;2021-01-25;39452;645459
FR;2;2021-01-26;51452;696911
FR;2;2021-01-27;54733;751644
FR;0;2020-12-27;13;13
FR;0;2020-12-28;38;51
FR;0;2020-12-29;64;115
FR;0;2020-12-30;88;203
FR;0;2020-12-31;78;281
FR;0;2021-01-01;9;290
FR;0;2021-01-02;42;332
FR;0;2021-01-03;74;406
FR;0;2021-01-04;1344;1750
FR;0;2021-01-05;4834;6584
FR;0;2021-01-06;10115;16699
FR;0;2021-01-07;25484;42183
FR;0;2021-01-08;31486;73669
FR;0;2021-01-09;10125;83794
FR;0;2021-01-10;5233;89027
FR;0;2021-01-11;32856;121883
FR;0;2021-01-12;52304;174187
FR;0;2021-01-13;55472;229659
FR;0;2021-01-14;68816;298475
FR;0;2021-01-15;57287;355762
FR;0;2021-01-16;17204;372966
FR;0;2021-01-17;9378;382344
FR;0;2021-01-18;75095;457439
FR;0;2021-01-19;115731;573170
FR;0;2021-01-20;121324;694494
FR;0;2021-01-21;138955;833449
FR;0;2021-01-22;107637;941086
FR;0;2021-01-23;35149;976235
FR;0;2021-01-24;8689;984924
FR;0;2021-01-25;69915;1054839
FR;0;2021-01-26;88125;1142964
FR;0;2021-01-27;91767;1234731
